job_id,company,country,region,publication_date,accessed_date,status,position,level,employer_type,required_skills,preferred_skills,education,experience,stack,responsibilities,source_url,evidence_grade,notes,python,functions_classes,decorators,typing,testing,numpy,pandas,eda,visualization,sql,window_functions,probability,statistics,ab_testing,linear_algebra,classical_ml,metrics,validation,leakage,feature_engineering,ranking,recommendation,nlp,cv,deep_learning,pytorch,git,linux,docker,api,fastapi,deployment,monitoring,mlflow,cloud,english,algorithms,commercial_experience,portfolio
RUEU001,Yandex,Russia,Moscow,not stated,2026-07-20,live,Developer Intern — AI Automations,intern,big tech,Basic backend and OOP; experience with a programming language; understanding of AI agents/models and model integration; databases and infrastructure,Go welcomed; ability to learn new tools quickly,not stated,No experience accepted,Go; Python; SQL; API; databases; LLM agents,Build Go backend components for AI agents; integrate LLMs; configure data pipelines; test agents/models; connect APIs and databases,https://yandex.ru/jobs/vacancies/razrabotchik-stazhyor-v-komandu-ai_avtomatizatsiy-46922,A,Official page showed «Войти и откликнуться» and no archive banner on access; publication date absent.,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
RUEU002,Yandex,Russia,Moscow,not stated,2026-07-20,live,Data Analyst Intern — Business Travel,intern,big tech,Confident SQL for data queries; handling large information volumes; analytical thinking and attention to detail,Initiative; communication; readiness to learn new domains,not stated,No experience accepted,SQL; Python,Collect and process data; form SQL samples; test hypotheses with numbers; prepare evidence for product decisions and small projects,https://yandex.ru/jobs/vacancies/analitik-stazhyor-v-komandirovki-46772,A,Official page showed active sign-in/apply action and no archive banner; three-month full-time internship.,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
RUEU003,T-Bank,Russia,Russia / remote or office,not stated,2026-07-20,live,ML Engineer Intern,intern,bank / big tech,Python; optimization methods; ML libraries; practical machine and deep learning; basic SQL,"Linear regression, bagging, boosting; mathematical statistics and hypothesis testing; Git; Linux terminal","Students, graduates, and beginning specialists",Entry-level; practical ML/DL experience requested,Python; SQL; Git; Linux; ML/DL libraries,"Train AI to analyse data and predict outcomes; work on speech, time-series, video or image problems; integrate results with product teams",https://education.tbank.ru/start/ml_engineer/,A,Application form was active; official schedule states applications through 2026-09-06 and internship start in autumn 2026.,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown
RUEU004,T-Bank,Russia,Russia / remote or office,not stated,2026-07-20,live,Analyst Intern,intern,bank / big tech,Strong mathematics; structured problem solving; technical or economics university background,Basics of a programming language or mathematics/programming/economics olympiad experience,Technical or economics university student; also open to graduates and beginners,Entry-level,SQL preparation materials; statistics; A/B experiments,"Optimise processes; test hypotheses; analyse results; possible tracks include product, risk, finance, investment and ML/AI business analytics",https://education.tbank.ru/start/analyst/,A,Application form was active; official schedule states applications through 2026-09-06 and autumn 2026 start. Skills vary by assigned analyst track.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
RUEU005,Sber,Russia,Moscow / Russia,not stated,2026-07-20,live,Data Scientist Intern — Risk Modelling,intern,bank / AI lab,"General programme targets year 3–4 students in mathematics, physics, economics, finance, CS/IT or adjacent fields",not stated,Year 3–4 student in listed quantitative/technical disciplines,Intern / junior,ML models; data; production systems,Automate and optimise credit processes with ML models from data collection and analysis through production implementation; write maintainable code and present solutions,https://rabota.sber.ru/search/stazher-data-scientist-upravlenie-risk-modelirovaniya-4501233/,B,"Direct role page returned 403 to crawler, but the current official Sber Risk team page listed it under open vacancies and linked this URL.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown
RUEU006,Sber,Russia,Moscow / Novosibirsk,not stated,2026-07-20,live,Data Science Intern — Model Risk Management,intern,bank / AI lab,"General programme targets year 3–4 students in mathematics, physics, economics, finance, CS/IT or adjacent fields",not stated,Year 3–4 student in listed quantitative/technical disciplines,Intern / junior,Model validation; alternative algorithms; validation automation,Review AI model structure and business effect; challenge developer approaches with alternative algorithms; automate validation and assure methodological code quality,https://rabota.sber.ru/search/stazher-data-science-v-upravlenie-model-nyh-riskov-4262979/,B,"Direct role page returned 403 to crawler, but the current official Sber Risk team page listed it under open vacancies and linked this URL.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown
RUEU007,T-Bank,Russia,Moscow / Russia,not stated,2026-07-20,archived,R&D Engineer Intern,intern / research,bank R&D lab,"Fundamental education in mathematics, IT or adjacent fields; reading AI/ML/CS research; current research activity",Olympiads in mathematics/algorithms/data structures; technical-university mathematics; independent CS/AI/ML projects,"Student or beginning specialist in mathematics, IT or adjacent discipline",Research or independent project experience preferred,Algorithms; data; databases; analytical engines; compute clusters,Research algorithms and data; test hypotheses; prepare A* papers/talks; build applied research outcomes,https://education.tbank.ru/start/rnd/,A,"Official page remains accessible, but application deadline was 2026-07-05; therefore archived on the 2026-07-20 snapshot and excluded from live frequencies.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes
RUEU008,Yandex,Russia,Moscow / Saint Petersburg,not stated,2026-07-20,archived,Machine Learning Engineer Intern — Classifieds,intern,big tech,Python; NumPy; pandas; data analysis; ML-project experience; SQL/databases; algorithms and data structures,Initiative and independent implementation,not stated,Experience in data analysis and ML projects,Python; NumPy; pandas; SQL; classical ML; NLP; ranking; recommendation; microservices,Analyse data; build ML training/evaluation pipelines; deploy models to production microservices,https://yandex.ru/jobs/vacancies/stazher-_-inzhener-mashinnogo-obucheniya-5343,A,"Official page explicitly displayed the archive banner on access. Kept only as a recent role-shape reference, not as live demand.",yes,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown
RUEU009,Amazon,Luxembourg,Luxembourg / EMEA matching,not stated,2026-07-20,live,2026 Data Scientist Internship,intern / MSc,big tech,"Enrolled in MSc in CS, ML, engineering or related field; fluent English",Statistics or ML/optimization; SQL/Python/R or statistical software; big-data processing; algorithm implementation,Current Master's student,Student; no commercial tenure stated,SQL; Python/R; big data; cloud; ML/DL/GenAI/LLM/CV,Develop algorithms; build and deploy ML models on large datasets and cloud; define metrics; deliver EU/worldwide projects,https://www.amazon.jobs/en/jobs/3125279/2026-data-scientist-internship-amazon-university-talent-acquisition,A,"Official Amazon page showed Apply now and rolling review; starts throughout 2026, 3–6 months; posting date absent.",yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,yes,yes,unknown,unknown
RUEU010,Amazon,Luxembourg,Luxembourg / EMEA matching,not stated,2026-07-20,live,2026 Applied Scientist Intern,intern / MSc or PhD,big tech / research,"Programming in Java/C++/Python; enrolled in MSc or PhD in CS, ML, engineering, OR, statistics or related field",Top-tier publications; experiment design and statistical analysis; algorithm implementation; ML/data-mining/statistical algorithms,Current Master's or PhD student,Research experience/publications preferred,Python/Java/C++; ML; data mining; statistics; NLP; CV; deep learning,Design end-to-end systems; create algorithms/models; write papers/roadmaps; develop and deploy production solutions,https://www.amazon.jobs/en/jobs/3128215/2026-applied-scientist-intern-amazon-university-talent-acquisition,A,Official Amazon page showed Apply now and rolling review; 3–6 month starts through the year; posting date absent.,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,yes
