"job_id","company","country","region","publication_date","accessed_date","status","position","level","employer_type","required_skills","preferred_skills","education","experience","stack","responsibilities","python","functions_classes","decorators","typing","testing","numpy","pandas","eda","visualization","sql","window_functions","probability","statistics","ab_testing","linear_algebra","classical_ml","metrics","validation","leakage","feature_engineering","ranking","recommendation","nlp","cv","deep_learning","pytorch","git","linux","docker","api","fastapi","deployment","monitoring","mlflow","cloud","english","algorithms","commercial_experience","portfolio","source_url","evidence_grade","notes"
"US001","Amazon","United States","Seattle WA; Corvallis OR; multiple US science hubs","2026-04-13","2026-07-20","live","2026 Fall Research Science Internship","PhD intern","big tech / cloud","Enrolled in PhD in CS, ML, engineering or related field; relocate; full-time availability","Statistical-analysis or visualization tools; prior academic/lab/intern research; ML or advanced computational methods","PhD in progress","Prior research preferred; not mandatory in basic qualifications","Computational tools; statistical-analysis software; data-visualization tools","Collect and analyze data; develop and test hypotheses; document findings; run simulations; collaborate and present progress","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.amazon.jobs/en/jobs/10398392/2026-fall-research-science-internship-united-states-phd-student-science-recruiting","A","Primary Amazon posting shows Apply now; Amazon Science index confirms posted date and current listing. No named language in the explicit qualifications, so Python remains unknown."
"US002","Amazon","United States","Boston MA; North Reading MA; Westboro MA; Pasadena CA; Sunnyvale CA; Bellevue WA; Seattle WA","2025-10-08","2026-07-20","live","Robotics Applied Scientist II Intern / Co-op 2026","PhD intern","big tech / robotics","PhD in quantitative field; one year relevant academic or industry research; Java, C++, Python or related; full-time on-site","Top-tier publication; prototype development; algorithm development; complexity analysis; cross-functional collaboration","PhD in progress","At least 1 year relevant academic research or industry experience","Python or Java or C++; robotics simulation and research tooling not otherwise fixed","Research robotics and ML; develop algorithms and prototypes; work across manipulation, perception, planning and controls","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","https://amazon.jobs/en/jobs/3104589/robotics-applied-scientist-ii-intern-co-op-2026-robotics-manipulation-perception-motion-planning-autonomous-mobile-robots-computer-vision-machine-learning-controls-and-more","A","Primary posting remains open and Amazon Science records the posting date. The experience requirement explicitly accepts academic research, so commercial experience is not strictly required despite the yes flag recording its explicit mention as an alternative."
"US003","Amazon","Canada","Vancouver BC","2026-04-13","2026-07-20","live","Fall 2026 Applied Science Internship - Canada","PhD intern","big tech / cloud","PhD student; full-time 40 hours; on-site at assigned team","not stated on captured primary excerpt","PhD in progress","not stated","Large-scale datasets; end-to-end science systems","Experiment and invent ML systems; own end-to-end design; create roadmaps; develop and deploy production-level solutions","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://amazon.jobs/en/jobs/10394248/fall-2026-applied-science-internship-canada-phd-student-science-recruiting","A","Primary Amazon job has Apply now; Amazon Science confirms date and live index presence. Named domains are explicit; unnamed tools stay unknown."
"US004","Amazon","United States","Seattle WA; multiple US science hubs","2026-04-13","2026-07-20","live","2026 Fall Applied Science Internship - Recommender Systems / Information Retrieval","PhD intern","big tech / marketplace","PhD-student science profile and full-time internship constraints; exact tool requirements not stated in captured primary index","not stated","PhD in progress","not stated","Recommender systems; information retrieval; deep learning; NLP; large-scale distributed systems","Research and develop recommendation, retrieval and ranking approaches for personalized experiences","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://amazon.jobs/en/jobs/10391774/2026-fall-applied-science-internship-recommender-systems-information-retrieval-machine-learning-united-states-phd-student-science-recruiting","A","Current primary Amazon Science index lists job 10391774. Tool flags not shown in the primary excerpt are deliberately unknown."
"US005","Apple","United States","Various US locations","2026-05-21","2026-07-20","pipeline","Machine Learning and Artificial Intelligence Undergrad Internships","undergraduate intern expression of interest","big tech / consumer devices","Pursuing BS or BA in CS, computer engineering, data science, applied mathematics or related; return to school or internship is final graduation requirement","not stated in captured primary excerpt","Bachelor degree in progress","not stated","No fixed stack stated","Explore and apply ML methods; collaborate on a meaningful ML solution; present work to leadership","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://jobs.apple.com/en-us/details/200664780-3810/machine-learning-and-artificial-intelligence-undergrad-internships","A","Apple explicitly says this is not a specific opening and accepts ongoing expressions of interest. Excluded from live-vacancy frequency."
"US006","Apple","United States","Various US locations","2026-05-22","2026-07-20","pipeline","Machine Learning and Artificial Intelligence Masters Internships","MS intern expression of interest","big tech / consumer devices","Pursuing MS in CS, computer engineering, data science, applied mathematics or related; return to school or final graduation requirement","Python or other OO language; TensorFlow, PyTorch, CoreFlow or sklearn; linear algebra, statistics, experimentation and ML algorithms","Master degree in progress","Research or applied prototype experience is role-dependent and preferred","Python; Swift; Objective-C; Java; TensorFlow; PyTorch; CoreFlow; sklearn","Design and implement an ML solution; prototype and evaluate systems; present work; potentially publish","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","yes","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","https://jobs.apple.com/en-us/details/200664221-3810/machine-learning-and-artificial-intelligence-masters-internships","A","Apple explicitly labels this an ongoing interest posting, not a specific vacancy. Skills listed here are preferred, not minimum."
"US007","Apple","United States","Various US locations","2026-05-22","2026-07-20","pipeline","Machine Learning and Artificial Intelligence PhD Internships","PhD intern expression of interest","big tech / consumer devices","Pursuing PhD in CS, computer engineering, data science, applied mathematics or related; return to school or final graduation requirement","Python or other OO language; PyTorch or related ML libraries; linear algebra; statistics; research publication or production-prototype experience depending on placement","PhD in progress","Research publication or applied ML prototype experience preferred by placement","Python; Swift; Objective-C; Java; TensorFlow; PyTorch; CoreFlow; sklearn","Research, prototype and evaluate ML systems; integrate prototypes where applicable; publish and present","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","yes","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","yes","unknown","unknown","https://jobs.apple.com/en-us/details/200664223-3810/machine-learning-and-artificial-intelligence-phd-internships","A","Ongoing pipeline, not a specific job opening; excluded from live counts. Preferred and minimum requirements remain separated."
"US008","Microsoft Research","United States","Cambridge MA; New York NY","2026-05-18","2026-07-20","live","Research Intern - Self-Improving AI","research intern","industrial research lab","Background in language modeling and reinforcement learning; detailed minimum degree not exposed in captured primary page","not stated","not stated","not stated","Language models; reinforcement learning","Research self-improving AI systems with Microsoft Research ML/AI group","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://apply.careers.microsoft.com/careers/job/1970393556867858","A","Microsoft Research index gives the date and US locations; the application system marks externally posted positions as Open. Unseen requirements remain unknown."
"US009","Microsoft Research","United States","Redmond WA; New York NY; New England","not stated","2026-07-20","archived","Undergraduate Research Internship - Computing, Summer 2026","advanced undergraduate intern","industrial research lab","Rising junior or senior in computing-related bachelor program; two years programming; calculus plus probability/statistics and/or ML or social-science methodology","not stated","Bachelor degree in progress","At least 2 years programming","Programming language not fixed; research, RSDE and program-management tracks","Complete mentored research project; collaborate; present findings; potentially publish or transfer work to product team","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.microsoft.com/en-us/research/academic-program/undergraduate-research-internship-computing/","A","Primary page explicitly says Summer 2026 applications are closed. Kept as archived benchmark and excluded from live frequency."
"US010","Google","United States","Mountain View CA; Ann Arbor MI; and 18 other US locations","not stated","2026-07-20","archived","Student Researcher, BS/MS, Winter/Summer 2026","BS/MS student researcher","big tech / research","Current BS or MS in listed quantitative/technical field; experience in one listed CS area; located in US for engagement","Return to degree; US degree program; prior research; publications; Python, Java, JavaScript or C/C++","Bachelor or Master degree in progress","Research experience preferred, not required","Python; Java; JavaScript; C/C++ are preferred examples","Participate in exploratory research solving real-world large-scale problems","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","https://www.google.com/about/careers/applications/jobs/results/140245524367188678-student-researcher-bsms-wintersummer-2026","A","Primary deadline was 2026-07-17; accessed three days later, so archived despite an Apply control still appearing in cached rendering."
