job_id,company,country,region,publication_date,accessed_date,status,position,level,employer_type,required_skills,preferred_skills,education,experience,stack,responsibilities,python,functions_classes,decorators,typing,testing,numpy,pandas,eda,visualization,sql,window_functions,probability,statistics,ab_testing,linear_algebra,classical_ml,metrics,validation,leakage,feature_engineering,ranking,recommendation,nlp,cv,deep_learning,pytorch,git,linux,docker,api,fastapi,deployment,monitoring,mlflow,cloud,english,algorithms,commercial_experience,portfolio,source_url,evidence_grade,notes
ASIA001,HSBC,China,Guangzhou,2026-07-16,2026-07-20,live,Data Analytics Intern,intern,bank,Python/R/SAS; SQL; visualization; basic regression/classification/clustering/time-series; English,Qlik/Power BI; GCP/AWS; CET-6; GitHub work,"Undergraduate/postgraduate in economics, management, finance, CS, statistics, mathematics or related",Student; other experience not stated,Python/R/SAS; SQL; Qlik/Power BI; GCP/AWS,Explore/model data; build dashboards; evaluate/iterate models,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,yes,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,yes,https://apply.careers.hsbc.com/job/Guangzhou-Data-Analytics-Intern-GD-510620/1366812457/,A-primary-live,Chinese-only description; explicit skills translated conservatively. Apply control present. Original status: live_open.
ASIA002,NVIDIA,Hong Kong,Hong Kong STP,not stated,2026-07-20,live,Machine Learning Intern - 2026,intern,big_tech,Python; Linux; ML/DL experience; English,NVIDIA SDK exposure not stated as prerequisite,"Pursuing BS/MS/PhD in CS, Data Science, Mathematics or related",Student; threshold not stated,Python; Linux; Nemotron; NIM; NeMo; Dynamo; Triton,Build SDK demos; run ML experiments; develop AI software,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Machine-Learning-Intern---2026_JR2016444,A-primary-live,Official Workday page shows Apply; publication date is not stated. Original status: live_open.
ASIA003,NVIDIA,China,Beijing / Shanghai,not stated,2026-07-20,live,"AI Developer Technology Engineer Intern, CUDA - 2026",intern,big_tech,C/C++; software design; AI algorithms; MS/PhD; 3+ months,CUDA C/C++; parallel programming,Pursuing MS/PhD in engineering or CS; graduating 2027,3+ months and 3 days/week; commercial experience not stated,C/C++; CUDA,"Optimize deep-learning, graph, ML and analytics techniques on GPUs",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Beijing/AI-Developer-Technology-Engineer-Intern--CUDA---2026_JR2006910,A-primary-live,"Python stays unknown: this posting explicitly asks for C/C++, not Python. Original status: live_open."
ASIA004,ASTRI,Hong Kong,Hong Kong,2026-07-12,2026-07-20,live,Multimodal AI Engineer (Engineer / Engineering Associate PI),entry_level,government_r_and_d,Bachelor's+ STEM; ASR/LLM/multimodal AI; MLOps/deployment; English and Cantonese,AliCloud/AWS/Azure/GCP,"Bachelor's+ in CS, AI, Data Science, EE, Mathematics or related",Fresh graduates welcome,Whisper; FunASR; Qwen; DeepSeek; cloud,Fine-tune ASR/LLM systems; deploy/monitor pipelines; benchmark models,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,yes,yes,unknown,unknown,unknown,https://careers.astri.org/job/Senior-Engineer-Engineer-Engineering-Associate-%28PI%29%2C-Multimodal-AI-Engineer/55060144/,A-primary-live,Open until filled; Cantonese is an explicit language constraint. Original status: live_open_until_filled.
ASIA005,ASTRI,Hong Kong,Hong Kong,2026-07-08,2026-07-20,live,Machine Learning & System Integration,entry_level,government_r_and_d,Degree; CV/language-model ML; Python/C/C++,Cryptography,Bachelor's/master's/doctorate in quantitative or technical field,Degree-based level; commercial experience not stated,Python; C; C++; SLM; LVLM; LLM,Develop DL models/analytics; train models; collect/clean data,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://careers.astri.org/job/Senior-Engineer-Engineer-Engineering-Associate-%28PI%29%2C-Machine-Learning-%26-System-Integration/52619244/,A-primary-live,Recent-graduate category; open until filled. Framework not named. Original status: live_open_until_filled.
ASIA006,ASTRI,Hong Kong,Hong Kong,2026-07-17,2026-07-20,live,Software Development and Machine Learning Engineer (PI),entry_level,government_r_and_d,Master's/PhD; Python; CV/ML; TensorFlow/PyTorch/OpenCV,C/C++/Java; data collection; avatar tech,"Master's/PhD in CS, EE, Information Engineering or related",Relevant CV/ML experience preferred; less experience considered,Python; TensorFlow; PyTorch; OpenCV,Develop CV/AI algorithms and avatar-content applications,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://careers.astri.org/job/Senior-Engineer-Engineer-%28PI%29%2C-Software-Development-and-Machine-Learning/47082144/,A-primary-live,Less experience considered; open until filled. Original status: live_open_until_filled.
ASIA007,Western Digital,Singapore,Singapore,not stated,2026-07-20,archived,"Intern - Computer Vision, Gen-AI and Software Development",intern,technology_manufacturer,Master's student; software engineering/data structures/applied ML,Python/C++/JS; PyTorch; CV; LLM/RAG; Docker; FastAPI; cloud; Git,"Current master's in CS, ECE or related",Prior CV/AI project experience preferred,Python; PyTorch/TensorFlow; OpenCV; Docker; FastAPI; cloud,Build/deploy CV and GenAI; integrate pipelines; APIs/dashboards; edge,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,yes,yes,unknown,yes,yes,yes,yes,unknown,unknown,yes,unknown,yes,unknown,yes,https://jobs.smartrecruiters.com/WesternDigital/744000097986094-intern-computer-vision-gen-ai-and-software-development,A-primary-archived,Official ATS has active interest control and Singapore location. Original status: live_open. Critical status recheck 2026-07-20: official ATS reports expired/closed; archived for analysis.
ASIA008,NCS,Singapore,Singapore,not stated,2026-07-20,live,AI Strategy & Planning Intern,intern,technology_services,Technical degree; basic ML/NLP/CV; analysis tools; research,AI/DS projects; Python/R,"Pursuing CS, Information Systems, Engineering or related",Student; threshold not stated,Excel; Power BI/Tableau; optional Python/R,Research AI; build roadmaps/business cases/dashboards/governance,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,https://jobs.smartrecruiters.com/NCS3/6000000001077122-ai-strategy-planning-intern,A-primary-live,"AI strategy role, not ML engineering; Python only beneficial. Original status: live_open."
ASIA009,AUMOVIO,Singapore,Singapore,not stated,2026-07-20,archived,Computer Vision and Machine Learning Intern,intern,automotive_technology,Python; NumPy/Pandas/sklearn; PyTorch/OpenCV; Git; CV,Independent research ability,Student implied; exact degree not stated,Student; commercial experience not stated,Python; NumPy; Pandas; sklearn; PyTorch; OpenCV; Git,Optimize image models; extract facial features; build PoCs,yes,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,yes,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://jobs.smartrecruiters.com/Aumovio/744000096569888-computer-vision-and-machine-learning-intern-ida-00073-,A-primary-archived,Official Singapore legal-entity ATS; active interest control. Original status: live_open. Critical status recheck 2026-07-20: official ATS reports expired/closed; archived for analysis.
ASIA010,Bosch Group,Singapore,Singapore,not stated,2026-07-20,archived,"Intern, AI Research",intern,industrial_r_and_d,Six months; AI/engineering studies; Python/C++; PyTorch/TensorFlow,Software architecture; CI/CD,"Undergraduate/graduate in CS, AI or Engineering",Student; commercial experience not stated,Python/C++; PyTorch/TensorFlow; CI/CD,Research ML/DL; preprocess data; develop and validate PoC,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://jobs.smartrecruiters.com/BoschGroup/744000127134264-intern-ai-research-,A-primary-archived,Official ATS says Jul 2026 onward and shows active application. Original status: live_open. Critical status recheck 2026-07-20: official ATS reports expired/closed; archived for analysis.
